time,serie1,serie2,serie3,serie4,serie5,serie6,serie7,serie8,serie9,serie10
0.0,10.518276016374307,11.90944431908283,8.11042218942289,9.999179616706261,8.552998572032827,11.143112725709548,9.586723697419053,10.382295093885027,10.148948559874619,8.39040188862938
0.01,10.522317472318832,9.63743539165848,8.634608234657772,10.052866642077547,10.863896186166865,9.841915482393805,11.167907427372278,10.90777435226632,8.002666017877182,9.622723369119564
0.02,9.321355612163133,13.321667589548928,9.46792892230644,11.342297078868587,10.467885758919765,10.94523902113222,11.161987078107291,8.831406768821516,11.031470956982751,8.89357545149798
0.03,10.238319753361239,8.435180466363576,8.331475719811438,10.822733280287624,11.472664389187992,12.252664635186916,11.826560532219993,10.734304934631673,7.7224577244151575,11.82943136779883
0.04,10.39247682814816,11.485242615336839,10.817633335483222,10.779263404880089,10.127769948269728,9.615832058180109,9.487959985881222,8.768327006883476,9.412828480601535,12.723836839604083
0.05,9.248967494031113,10.766161668568708,9.599448077673626,9.615530872499626,12.218376198083586,10.706693120286578,9.636031240336035,7.999257629541467,8.563444833948433,7.532117229662986
0.06,10.80555867670794,10.756983599587269,10.030504838009216,11.83457531406865,12.494627993407027,9.409892558627638,7.769975925474667,12.592886375876533,10.885137034640259,13.355141124174166
0.07,9.714985733005985,12.409426115467477,11.63897307999726,10.024016781775419,10.803940656343519,12.174810059317812,8.918245029288247,8.17314496323386,9.598861719658164,10.502922488323929
0.08,10.807591103568747,11.036223774222458,10.310985410947147,12.37633101461966,11.252517416940977,9.575139708438483,11.260964458736657,13.665714143510494,12.074261759943633,10.54290707876583
0.09,12.01174786939992,12.09608421075609,9.703971515060891,9.702090810372995,9.847183544891651,8.679268130918018,8.37475285457315,9.588828633086175,10.974958111118498,8.605895194523578
0.1,10.949971119183818,11.96092773140735,10.109202196278806,10.434102322044039,9.81594193635158,10.823668011676691,10.620206363548057,11.188219176708657,12.463933405389485,12.22299534063576
0.11,10.174489966806183,8.989224473916922,9.172423871849617,12.12375421996346,11.576389690745966,5.026029466018304,11.218917689699785,8.419805408798094,10.677272107681958,11.55650393707591
0.12,11.678987438704135,10.876606511404031,10.48426446093403,10.799654293545299,11.270477243868497,10.063534929970468,10.225901580125193,11.742705422894428,14.823045672562987,11.24181890355048
0.13,13.357656286168844,10.53724844842027,7.515562737305641,11.21923893635491,11.690055112864378,7.206344132609273,11.0809406063114,9.26148229619753,9.339017758716057,11.361835980099052
0.14,8.490257712318273,10.201968817557422,10.700813390216506,11.170350130096674,11.758039170033367,10.010275983621941,11.103712104032926,10.468456539443716,13.157935081077518,11.12847065802323
0.15,9.733391671546052,10.589841259929836,9.576785047540634,11.05522745353067,9.581646070944956,8.448709874494144,11.185111850826418,10.868153520908132,11.606762039908524,13.035726769085334
0.16,8.622614262490508,9.686502764803315,10.59877692383379,10.795169324746958,11.853436512584738,10.589346320601994,10.930102862369104,12.75448183002381,11.867667022612292,10.808530488263063
0.17,8.931553327051626,8.66744865566076,11.283565131361645,9.591136351636905,9.820316106266095,9.836373088640988,10.943844975577292,10.902062216781077,10.726553297952885,12.84769978785426
0.18,9.398317489615588,10.387040187280537,10.63798852062373,10.696659045944644,10.28325157992494,10.01073388446897,11.035326923008013,11.319950735978635,12.017166535139705,10.97115043613333
0.19,11.2357747079134,8.432045877374467,11.21694506305629,9.054238373597098,12.803497783444323,11.266131429202895,11.682569545491015,11.185461912003339,9.345548313792467,11.612414417190225
0.2,10.887794884511894,14.737906812603319,11.3348802818305,10.388932066032089,7.9261904988958545,12.21817025657006,8.820605675820515,11.343491085912627,12.066764567324523,11.466697237237776
0.21,11.151374514912314,10.937856903727523,13.268478410348044,8.896039275920497,13.127728095751726,12.187583948709586,11.70611786531771,10.248799684278476,10.432846930037133,8.835569009885905
0.22,9.625980993355993,13.009636989136093,11.912438474473397,10.611250403227851,8.470064168288502,9.642040582737954,9.931327951175831,11.333819695666238,12.881341427764083,9.246718259866384
0.23,10.259984845179323,13.980959633151798,11.296920484843213,10.014374905519825,13.339479933098234,11.250287358850647,10.87141750257526,10.116628010133224,12.862215738131683,9.527222347257934
0.24,10.737356318287745,11.358934335445614,12.295815222178396,14.065808476963666,9.61367965436963,10.170062306545205,9.784662040923985,10.68077439733078,11.806645769802826,10.56998000393481
0.25,10.76906878259501,12.264504750815629,10.070324339935125,12.063562877798459,12.075117749786637,12.373802024534582,12.178737497271515,11.502474793508474,12.823288618805165,10.92991070353517
0.26,10.91804596897743,12.004713412903666,11.887119316491585,10.757790988156303,12.699068486333125,11.21191615538732,11.92433987746178,10.649015526872386,11.174191389217505,11.327596960757647
0.27,12.75472952176322,10.677670543789446,11.873408308878258,10.549795183914506,9.086834456470621,11.273779564427148,10.075411554299636,12.490043284221247,11.776095290379812,8.552249057837129
0.28,12.768862670287277,12.820306409387976,12.676647818388078,13.926509829162839,13.243569837303433,10.331012716408335,10.564995105891652,11.3055218440688,12.428834518212339,9.067234437821341
0.29,10.084679718017192,11.331658911444755,12.900585720884926,12.282657359560018,12.558788341940414,11.965210368242811,12.657989749293984,10.063620374678008,10.317301708782384,9.93214154177964
0.3,13.213973510098603,11.169828594405505,14.230483574700138,13.764371990099653,12.486392663861075,9.963843315141602,10.55036395174036,13.480301513713744,11.727286288655769,9.359356499333812
0.31,10.502021098404423,10.283185892358823,12.625994627866726,10.446692307230375,12.442768644955606,13.47144859822106,12.257826728644725,10.114094891713885,11.270665076488038,9.24733178023091
0.32,14.519506523342324,11.255800945931416,12.842124293263241,14.725667569370398,13.963480991313459,11.86328284088079,11.253784515427588,11.267509174376016,11.070816563528624,11.133229064756202
0.33,10.640820128225062,11.168652623805782,9.631477796706244,11.070365315154808,10.435479177643451,12.698534197635407,10.696803295402367,9.24547295078579,11.167029835668169,9.820908296056528
0.34,12.157473084282161,10.337280338353985,8.91854211002494,13.57647586373203,11.132120332306696,13.552022217606044,12.214652264522536,12.411164165873899,10.513560107178625,9.827209297941627
